ITEM1;ITEM2;ITEM3;ITEM4;ITEM5;ITEM6;ITEM7;ITEM8;ITEM9;ITEM10;ITEM11
Pan Molde;Cafe Instantaneo;Mantequlla;Yogur;Mermelada;Queso;;;;;
Mermelada;Cafe Instantaneo;;;;;;;;;
Pan Molde;Te en bolsa;Mantequlla;Queso;;;;;;;
Queso;Te en bolsa;Jamon;Cafe Instantaneo;Mantequlla;Pan;;;;;
Queso;Yogur;Cafe Instantaneo;Azucar;Mantequlla;Dulce de leche;;;;;
Azucar;Te en bolsa;Mermelada;Dulce de leche;Jamon;Leche;;;;;
Dulce de leche;Cafe Instantaneo;;;;;;;;;
Mantequlla;Mermelada;Jamon;;;;;;;;
Dulce de leche;Te en bolsa;Mantequlla;Yogur;Azucar;Queso;;;;;
Jamon;Mermelada;;;;;;;;;
Leche;Jamon;Te en bolsa;Dulce de leche;Pan;;;;;;
Mermelada;Cafe Instantaneo;Leche;Yogur;Pan Molde;Azucar;Mantequlla;Jamon;;;
Mantequlla;Cafe Instantaneo;Jamon;Dulce de leche;Mermelada;Pan Molde;;;;;
Pan;Pan Molde;Cafe Instantaneo;Te en bolsa;Dulce de leche;Mermelada;Azucar;Jamon;;;
Leche;Dulce de leche;Mantequlla;Azucar;Pan Molde;Jamon;;;;;
Pan;Cafe Instantaneo;Te en bolsa;;;;;;;;
Mantequlla;Mermelada;Leche;Queso;;;;;;;
Pan;Cafe Instantaneo;;;;;;;;;
Queso;Te en bolsa;Dulce de leche;Pan Molde;Cafe Instantaneo;Azucar;;;;;
Jamon;Pan Molde;Mantequlla;Queso;Yogur;Te en bolsa;Leche;;;;
Cafe Instantaneo;Queso;Te en bolsa;Yogur;Azucar;;;;;;
Pan Molde;Mermelada;Queso;Dulce de leche;Cafe Instantaneo;Pan;;;;;
Cafe Instantaneo;Jamon;Mantequlla;Mermelada;Te en bolsa;Yogur;;;;;
Yogur;Dulce de leche;Leche;Mantequlla;Cafe Instantaneo;Pan Molde;;;;;
Azucar;Cafe Instantaneo;Leche;Mantequlla;Queso;Yogur;;;;;
Pan Molde;Yogur;Mermelada;Queso;Mantequlla;Leche;Jamon;;;;
Jamon;Yogur;Azucar;Cafe Instantaneo;Leche;Queso;;;;;
Jamon;Leche;Dulce de leche;;;;;;;;
Pan;Cafe Instantaneo;;;;;;;;;
Dulce de leche;Queso;;;;;;;;;
Yogur;Pan;Te en bolsa;Cafe Instantaneo;;;;;;;
Pan Molde;Dulce de leche;Jamon;;;;;;;;
Leche;Mantequilla;Pan;Te en bolsa;Jamon;Mermelada;;;;;
Mantequilla;Queso;Jamon;Azucar;;;;;;;
Queso;Yogur;Azucar;Pan;Mantequilla;Jamon;;;;;
Pan Molde;Pan;Jamon;Leche;;;;;;;
Mermelada;Pan;Queso;Azucar;Cafe Instantaneo;Dulce de leche;Yogur;Pan Molde;;;
Pan;Yogur;Mermelada;Te en bolsa;Jamon;Leche;Pan Molde;Cafe Instantaneo;;;
Azucar;Leche;Mantequilla;Mermelada;Queso;;;;;;
Queso;Jamon;Azucar;Yogur;Mermelada;;;;;;
Dulce de leche;Jamon;Pan;;;;;;;;
Cafe Instantaneo;Leche;Pan;;;;;;;;
Queso;Pan Molde;Cafe Instantaneo;Te en bolsa;Pan;Jamon;Mantequilla;;;;
Queso;Te en bolsa;Leche;Yogur;Mermelada;;;;;;
Azucar;Yogur;Pan;Mantequilla;Mermelada;Leche;Pan Molde;;;;
Mantequilla;Te en bolsa;Queso;Yogur;Pan;Mermelada;Cafe Instantaneo;;;;
Azucar;Leche;;;;;;;;;
Dulce de leche;Mantequilla;;;;;;;;;
Yogur;Pan;Dulce de leche;;;;;;;;
Queso;Cafe Instantaneo;Mantequilla;Azucar;Jamon;Pan;Pan Molde;Te en bolsa;Mermelada;;
Yogur;Jamon;Mantequilla;Pan Molde;Azucar;Pan;Te en bolsa;Leche;;;
Mantequilla;Pan Molde;;;;;;;;;
Azucar;Jamon;Te en bolsa;Dulce de leche;Cafe Instantaneo;Queso;Pan Molde;Leche;Mantequilla;;
Pan Molde;Mantequilla;;;;;;;;;
Cafe Instantaneo;Mantequilla;Mermelada;;;;;;;;
Pan Molde;Mantequilla;Pan;Mermelada;Cafe Instantaneo;;;;;;
Mantequilla;Azucar;Yogur;;;;;;;;
Pan Molde;Mantequilla;;;;;;;;;
Mermelada;Pan;Queso;Pan Molde;Te en bolsa;Cafe Instantaneo;Dulce de leche;Mantequilla;;;
Jamon;Leche;Pan;Yogur;;;;;;;
Jamon;Te en bolsa;;;;;;;;;
Pan;Jamon;;;;;;;;;
Yogur;Azucar;Dulce de leche;Mermelada;Pan;Mantequilla;Cafe Instantaneo;Pan Molde;Te en bolsa;Leche;Queso Mozzarella
Te en bolsa;Dulce de leche;Pan Molde;Mermelada;;;;;;;
Pan Molde;Cafe Instantaneo;Azucar;;;;;;;;
Queso;Azucar;Te en bolsa;Mantequilla;;;;;;;
Pan;Yogur;Leche;Jamon;Dulce de leche;Te en bolsa;Queso;;;;
Pan;Mermelada;Yogur;Leche;Cafe Instantaneo;;;;;;
Cafe Instantaneo;Mantequilla;Pan Molde;Mermelada;;;;;;;
Pan Molde;Pan;Cafe Instantaneo;Leche;Azucar;;;;;;
Mermelada;Leche;Cafe Instantaneo;Yogur;Dulce de leche;;;;;;
Cafe Instantaneo;Te en bolsa;Jamon;Dulce de leche;Mermelada;Leche;Azucar;;;;
Pan Molde;Pan;Jamon;Te en bolsa;Leche;;;;;;
Mermelada;Mantequilla;Te en bolsa;Pan;Dulce de leche;Azucar;Yogur;;;;
Te en bolsa;Jamon;Cafe Instantaneo;;;;;;;;
Leche;Mantequilla;Te en bolsa;Azucar;Dulce de leche;;;;;;
Cafe Instantaneo;Leche;Yogur;Queso;Te en bolsa;Azucar;Pan;;;;
Cafe Instantaneo;Pan Molde;Jamon;Pan;Mantequilla;Te en bolsa;;;;;
